year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,LA,22033,,12779,7085,2374,18.58,6746,3747,2286,52.79,29.32,8856,2729,850,344,0,69.3,21.36,6.65,5066,1404,409,206,0,71.5,19.82,5.77,national
2025,LA,22103,,9899,5654,1726,17.44,4814,3037,2048,48.63,30.68,6584,1843,1268,204,0,66.51,18.62,12.81,3770,1034,709,141,0,66.68,18.29,12.54,national
2025,LA,22051,,9544,5203,1826,19.13,4282,3295,1967,44.87,34.52,6890,1864,694,96,0,72.19,19.53,7.27,3853,943,353,54,0,74.05,18.12,6.78,national
2025,LA,22055,,8674,4836,1803,20.79,5486,2163,1025,63.25,24.94,5847,1726,794,307,0,67.41,19.9,9.15,3185,996,443,212,0,65.86,20.6,9.16,national
2025,LA,22071,,9412,4670,1996,21.21,4226,3353,1833,44.9,35.62,7351,1471,587,3,0,78.1,15.63,6.24,3797,613,260,0,0,81.31,13.13,5.57,national
2025,LA,22017,,6595,3415,1472,22.32,3508,2183,904,53.19,33.1,4124,1467,927,77,0,62.53,22.24,14.06,2129,774,465,47,0,62.34,22.66,13.62,national
2025,LA,22063,,5733,3108,1161,20.25,3316,1482,935,57.84,25.85,3348,1580,462,343,0,58.4,27.56,8.06,1664,949,260,235,0,53.54,30.53,8.37,national
2025,LA,22019,,5222,2826,1054,20.18,3078,1533,611,58.94,29.36,3387,1207,510,118,0,64.86,23.11,9.77,1813,682,250,81,0,64.15,24.13,8.85,national
2025,LA,22005,,4773,2679,888,18.6,2398,1511,864,50.24,31.66,3138,1054,454,127,0,65.74,22.08,9.51,1747,602,246,84,0,65.21,22.47,9.18,national
2025,LA,22015,,4565,2666,788,17.26,2629,1407,529,57.59,30.82,2514,769,1201,81,0,55.07,16.85,26.31,1369,470,773,54,0,51.35,17.63,28.99,national
2025,LA,22073,,4424,2570,840,18.99,2556,1357,511,57.78,30.67,3100,841,375,108,0,70.07,19.01,8.48,1784,504,205,77,0,69.42,19.61,7.98,national
2025,LA,22105,,5008,2274,1366,27.28,2998,1321,689,59.86,26.38,3282,1061,489,176,0,65.54,21.19,9.76,1354,564,248,108,0,59.54,24.8,10.91,national
2025,LA,22079,,3609,1943,726,20.12,2095,1095,419,58.05,30.34,2341,732,448,88,0,64.87,20.28,12.41,1242,394,248,59,0,63.92,20.28,12.76,national
2025,LA,22109,,2497,1314,600,24.03,1394,770,333,55.83,30.84,1591,604,172,130,0,63.72,24.19,6.89,789,349,89,87,0,60.05,26.56,6.77,national
2025,LA,22057,,2431,1292,548,22.54,1410,693,328,58.0,28.51,1630,500,178,123,0,67.05,20.57,7.32,817,295,95,85,0,63.24,22.83,7.35,national
2025,LA,22097,,2447,1013,755,30.85,1637,612,198,66.9,25.01,1693,444,175,135,0,69.19,18.14,7.15,626,221,77,89,0,61.8,21.82,7.6,national
2025,LA,22089,,1493,853,273,18.29,686,520,287,45.95,34.83,1020,321,121,31,0,68.32,21.5,8.1,573,198,61,21,0,67.17,23.21,7.15,national
2025,LA,22113,,1554,782,358,23.04,918,414,222,59.07,26.64,1062,333,93,66,0,68.34,21.43,5.98,509,175,57,41,0,65.09,22.38,7.29,national
2025,LA,22099,,1612,736,434,26.92,999,464,149,61.97,28.78,1134,285,133,60,0,70.35,17.68,8.25,457,166,67,46,0,62.09,22.55,9.1,national
2025,LA,22001,,1373,721,300,21.85,854,357,162,62.2,26.0,946,241,85,101,0,68.9,17.55,6.19,454,145,47,75,0,62.97,20.11,6.52,national
2025,LA,22045,,1440,717,374,25.97,856,360,224,59.44,25.0,962,290,113,75,0,66.81,20.14,7.85,443,158,60,56,0,61.79,22.04,8.37,national
2025,LA,22061,,1252,703,247,19.73,735,375,142,58.71,29.95,997,159,72,24,0,79.63,12.7,5.75,556,93,39,15,0,79.09,13.23,5.55,national
2025,LA,22011,,1300,626,289,22.23,773,427,100,59.46,32.85,757,194,322,27,0,58.23,14.92,24.77,325,102,182,17,0,51.92,16.29,29.07,national
2025,LA,22115,,1215,593,261,21.48,678,421,116,55.8,34.65,621,135,435,24,0,51.11,11.11,35.8,256,69,252,16,0,43.17,11.64,42.5,national
